date,data,url,,
2017-08-10,"We are working on many programmes with the MoD, with DRDO in India: Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/we-are-working-on-many-programmes-with-the-mod-with-drdo-in-india-baba-kalyani-bharat-forge/articleshow/60002924.cms,,
2016-02-04,"Motherson Sumi, Bharat Forge look good in long-term: Sudip Bandyopadhyay, market expert",https://economictimes.indiatimes.com/markets/stocks/recos/motherson-sumi-bharat-forge-look-good-in-long-term-sudip-bandyopadhyay-market-expert/articleshow/50835731.cms,,
2015-10-27,Bharat Forge reorganises European operations,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/bharat-forge-reorganises-european-operations/articleshow/49548943.cms,,
2015-02-10,"Top money picks in run-up to Budget:  Bharat Forge, Maruti, Sintex, Sharda Cropchem",https://economictimes.indiatimes.com/markets/stocks/news/top-money-picks-in-run-up-to-budget-bharat-forge-maruti-sintex-sharda-cropchem/articleshow/46186996.cms,,
2016-01-07,Bharat Forge gradually gains interest among traders,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-gradually-gains-interest-among-traders/articleshow/50474955.cms,,
2013-02-13,"Alstom Bharat Forge Power bags NTPC project worth Rs 2,251 cr",https://economictimes.indiatimes.com/news/news-by-industry/indl-goods/svs/engineering/alstom-bharat-forge-power-bags-ntpc-project-worth-rs-2251-cr/articleshow/18481393.cms,,
2014-03-06,How Baba Kalyani is making Bharat Forge diversify into non-auto segments,https://economictimes.indiatimes.com/small-biz/entrepreneurship/how-baba-kalyani-is-making-bharat-forge-diversify-into-non-auto-segments/articleshow/31498814.cms,,
2014-10-27,Buy Bharat Forge Ltd with a with a target of Rs 810: Manav Chopra,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-ltd-with-a-with-a-target-of-rs-810-manav-chopra/articleshow/44944701.cms,,
2016-06-07,Alstom Bharat Forge JV bags ultra-super critical project,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/alstom-bharat-forge-jv-bags-ultra-super-critical-project/articleshow/52638335.cms,,
2011-08-10,"Bharat Forge-MIDC to set up 4,500 hectare SEZ but with changed conditions",https://economictimes.indiatimes.com/news/economy/infrastructure/bharat-forge-midc-to-set-up-4500-hectare-sez-but-with-changed-conditions/articleshow/9554994.cms,,
2015-10-19,"Railways, defence, aerospace to greatly benefit from Make in India scheme: Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/news/india-unlimited/make-in-india/railways-defence-aerospace-to-greatly-benefit-from-make-in-india-scheme-baba-kalyani-bharat-forge/articleshow/49449934.cms,,
2013-08-10,"Expect second half to be better than first half: Amit Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/expect-second-half-to-be-better-than-first-half-amit-kalyani-bharat-forge/articleshow/21744748.cms,,
2016-02-15,"Make in India event is a great opportunity to showcase our ability: Baba Kalyani, Bharat Forge CMD",https://economictimes.indiatimes.com/opinion/interviews/make-in-india-event-is-a-great-opportunity-to-showcase-our-ability-baba-kalyani-bharat-forge-cmd/articleshow/50996759.cms,,
2014-05-09,Bharat Forge subsidiary wins euro 250 million multi-year contract,https://economictimes.indiatimes.com/industry/auto/news/auto-components/bharat-forge-subsidiary-wins-euro-250-million-multi-year-contract/articleshow/34859465.cms,,
2016-12-13,Buy  Bharat Forge Ltd.  target Rs  1044  :   Dharmesh Shah,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-ltd-target-rs-1044-dharmesh-shah/articleshow/55955272.cms,,
2013-02-07,"Bharat Forge, Elbit form strategic co-operation in India through a new JVC",https://economictimes.indiatimes.com/news/news-by-industry/indl-goods/svs/engineering/bharat-forge-elbit-form-strategic-co-operation-in-india-through-a-new-jvc/articleshow/18380778.cms,,
2017-05-25,Result Boost: Bharat Forge looks all set for a rerating,https://economictimes.indiatimes.com/markets/stocks/news/result-boost-bharat-forge-looks-all-set-for-a-rerating/articleshow/58834789.cms,,
2016-05-16,Sell Bharat Forge with a target of Rs 730: Dr CK Narayan,https://economictimes.indiatimes.com/markets/stocks/recos/sell-bharat-forge-with-a-target-of-rs-730-dr-ck-narayan/articleshow/52287523.cms,,
2015-05-20,Bharat Forge Q4 net profit rises 71% to Rs 203.18 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/bharat-forge-q4-net-profit-rises-71-to-rs-20318-crore/articleshow/47357251.cms,,
2014-11-17,Buy Bharat Forge in auto ancillary space: Ajay Bagga,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-in-auto-ancillary-space-ajay-bagga/articleshow/45177288.cms,,
2015-02-19,Bharat Forge forms 51:49 JV with Rafael, to manufacture high-tech defence components,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/bharat-forge-forms-5149-jv-with-rafael-to-manufacture-high-tech-defence-components/articleshow/46296496.cms,
2011-08-12,"Bharat Forge looking to set-up its operation in Brazil, rest of Asia",https://economictimes.indiatimes.com/news/news-by-industry/indl-goods-/-svs/engineering/bharat-forge-looking-to-set-up-its-operation-in-brazil-rest-of-asia/articleshow/9578013.cms,,
2017-08-15,Bharat Forge likely to sustain premium edge,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-likely-to-sustain-premium-edge/articleshow/60068633.cms,,
2016-06-17,"Sell Bharat Forge, target Rs 705: Reliance Securities",https://economictimes.indiatimes.com/markets/stocks/recos/sell-bharat-forge-target-rs-705-reliance-securities/articleshow/52793956.cms,,
2014-04-09,"Indian companies in the UK like Bharat Forge, Tata Motors buck the trend, log double-digit growth",https://economictimes.indiatimes.com/markets/stocks/earnings/indian-companies-in-the-uk-like-bharat-forge-tata-motors-buck-the-trend-log-double-digit-growth/articleshow/33490775.cms,,
